Observation,latN,longW,depthmbsl,F1,F2,F3,F4,F5,F6,SetNo,Section
TR101 15D-5,63.570,-23.700,83.000,0.515,0.670,0.377,-0.283,0.246,0.032,1.000,4.250
TR101 19D-1,63.470,-23.800,105.000,0.211,0.447,0.279,-0.277,0.080,-0.086,1.000,4.250
TR101 16D-4,63.470,-23.870,60.000,0.657,0.627,0.468,-0.208,0.176,-0.002,1.000,4.250
TR101 17D-1,63.460,-23.850,40.000,0.454,0.606,0.424,-0.357,0.189,0.000,1.000,4.250
TR101 18D-1,63.460,-23.850,43.000,0.465,0.582,0.431,-0.372,0.235,0.016,1.000,4.250
TR101 11D-2g,63.270,-24.200,75.000,0.460,0.740,0.397,-0.131,0.130,-0.020,1.000,4.250
TR101 12D-6g,63.220,-24.270,258.000,0.396,0.775,0.329,-0.140,0.128,-0.029,1.000,4.250
TR101 12D-7g,63.220,-24.270,258.000,0.318,0.812,0.338,-0.078,0.014,-0.065,1.000,4.250
TR101 7D-5g,63.070,-24.500,315.000,0.720,0.661,0.335,0.036,0.083,-0.068,1.000,4.250
TR101 6D-9g,62.990,-24.690,400.000,0.594,0.635,0.407,-0.260,0.264,-0.003,1.000,4.000
TR101 35D-3g,62.700,-25.210,580.000,0.425,0.720,0.303,-0.067,0.020,-0.117,1.000,4.000
TR101 2D-1g,62.620,-25.430,632.000,0.451,0.667,0.280,-0.071,0.327,0.002,1.000,4.000
TR101 1D-2g,62.590,-25.450,617.000,0.645,0.916,0.314,0.226,-0.033,-0.086,1.000,4.000
TR101 22D-1g,62.370,-25.840,715.000,1.028,0.837,0.046,0.219,0.187,-0.008,1.000,4.000
TR101 23D-1g,62.350,-25.780,657.000,0.602,0.658,0.334,-0.333,0.135,-0.034,1.000,4.000
TR101 25D-1,62.110,-26.360,686.000,0.961,0.442,0.343,-0.319,0.273,0.029,1.000,4.000
TR101 27D-1g,61.730,-26.880,599.000,1.130,0.604,0.122,0.146,0.159,-0.011,1.000,4.000
TR101 27D-7g,61.730,-26.880,599.000,1.536,0.364,0.291,-0.283,0.044,-0.001,1.000,4.000
EN025 6D-1g,61.600,-27.070,760.000,1.694,0.197,0.165,-0.368,-0.059,-0.004,1.000,4.000
TR101 29D-5,61.100,-27.880,810.000,2.130,0.016,0.121,-0.355,0.252,0.054,1.000,4.000
TR101 30D-10g,61.090,-27.900,792.000,1.734,0.280,0.106,-0.099,0.087,0.008,1.000,4.000
TR101 33D-6g,60.450,-28.880,922.000,2.255,-0.231,0.286,-0.456,0.190,0.034,1.000,4.000
TR41 D20-3g,60.030,-29.380,948.000,2.007,-0.239,0.218,-0.431,0.288,0.056,1.000,4.000
TR41 D22-1,60.020,-29.480,978.000,2.059,-0.274,0.267,-0.396,0.174,-0.002,1.000,4.000
TRI0041-022-001,60.017,-29.483,-1020.000,2.058,-0.275,0.268,-0.397,0.173,-0.003,2.000,4.000
TR41 D19-1g,59.990,-29.430,950.000,2.061,-0.056,0.214,-0.083,0.166,-0.012,1.000,4.000
TR41 D38-2,59.990,-29.510,925.000,2.189,-0.300,0.211,-0.345,0.334,0.075,1.000,4.000
GLJ 10g,58.870,-30.950,1383.000,2.149,-0.195,0.192,-0.040,0.137,-0.018,1.000,4.000
EN025 5D-3g,58.420,-31.620,1457.000,2.333,-0.223,0.111,-0.174,0.057,0.008,1.000,4.000
TR100 26D-10,57.680,-32.570,1380.000,2.282,-0.455,-0.074,0.377,0.054,-0.085,1.000,4.000
EN025 4D-1g,57.140,-33.420,2160.000,2.773,-0.329,0.384,-0.161,0.027,-0.026,1.000,4.000
EN025 3D-1g,55.670,-34.870,1975.000,1.846,-0.016,0.109,-0.186,0.196,-0.049,1.000,4.000
EN025 2D-4g,54.760,-35.220,2075.000,2.219,-0.179,0.234,-0.220,0.116,-0.066,1.000,4.000
TR100 23D-10g,54.250,-35.400,880.000,2.037,-0.189,0.230,-0.340,0.202,-0.085,1.000,4.000
TR100 13D-10g,52.480,-31.570,4050.000,1.761,-0.130,-0.116,0.038,0.039,-0.124,1.000,3.500
TR100 13D-11g,52.480,-31.570,4050.000,1.625,0.004,0.108,-0.110,0.236,-0.031,1.000,3.500
TR100 12D-10g,52.330,-31.520,2400.000,1.725,-0.139,0.016,-0.219,0.241,-0.054,1.000,3.500
TR138 9D-2g,51.560,-29.920,3710.000,2.783,-0.491,-0.122,0.083,0.093,-0.126,1.000,3.500
TR138 8D-1g,51.280,-30.020,3500.000,2.930,-0.674,-0.223,-0.005,0.226,-0.043,1.000,3.500
TR138 7D-1Ag,50.460,-29.420,3880.000,3.411,-0.732,-0.118,-0.066,0.064,-0.053,1.000,3.500
TR138 6D-1Bg,50.040,-28.930,3370.000,4.059,-0.635,0.020,0.214,0.031,-0.020,1.000,3.500
TR138 5D-1,49.520,-28.540,2588.000,0.837,0.702,0.070,-0.113,0.074,-0.016,1.000,3.500
TRI0138-005-001,49.520,-28.540,-2590.000,0.838,0.702,0.070,-0.113,0.074,-0.016,2.000,3.500
CH43 104-16,45.180,-27.900,2790.000,-0.778,2.399,1.200,0.545,0.273,-0.158,1.000,3.000
TRI0154-014-001,44.820,-28.040,-2875.000,-1.245,2.254,0.689,0.199,-0.022,0.035,2.000,3.000
TR154 13D-1,44.000,-28.390,2560.000,-1.695,2.155,0.712,0.213,-0.353,-0.162,1.000,3.000
TRI0154-013-001,44.000,-28.390,-2560.000,-1.696,2.154,0.710,0.213,-0.352,-0.162,2.000,3.000
TR154 12D-2,43.370,-28.980,3040.000,-2.019,2.478,1.002,0.108,-0.297,0.058,1.000,3.000
TRI0154-012-002,43.370,-28.980,-3040.000,-2.020,2.477,1.002,0.107,-0.297,0.058,2.000,3.000
TR154 15D-2g,42.790,-29.360,2925.000,-2.273,2.770,0.532,-0.096,-0.026,0.045,1.000,3.000
TR154 16D-3g,42.390,-29.400,2895.000,-1.349,2.891,0.296,0.147,0.115,-0.112,1.000,3.000
TR154 17D-2g,41.670,-29.260,2625.000,-1.140,2.530,0.428,0.312,0.139,-0.023,1.000,3.000
TR154 18D-2g,41.180,-29.310,2225.000,-0.479,1.845,0.331,0.345,-0.028,0.064,1.000,3.000
TR122 3D-9,40.230,-29.590,2675.000,1.687,0.965,1.075,0.986,-0.228,0.242,1.000,3.000
TRI0122-003-009,40.230,-29.590,-2675.000,1.687,0.965,1.074,0.986,-0.228,0.242,2.000,3.000
TR154 20D-3g,39.760,-29.690,2225.000,-1.270,2.408,0.361,0.354,0.049,-0.006,1.000,3.000
TR89 30D-5,39.630,-29.740,2025.000,-2.157,2.096,0.023,-0.066,0.431,-0.057,1.000,3.000
TR89 31D-1,39.630,-29.710,1750.000,-2.917,2.801,0.433,-0.097,0.314,0.266,1.000,3.000
TRI0089-030-005,39.630,-29.740,-2025.000,-2.158,2.096,0.023,-0.066,0.431,-0.057,2.000,3.000
TRI0089-031-001,39.630,-29.710,-1750.000,-2.916,2.801,0.434,-0.097,0.314,0.266,2.000,3.000
TR154 8D-1g,39.200,-29.950,1630.000,-1.599,1.779,0.254,0.172,0.328,-0.088,1.000,3.000
TR154 21D-3g,38.890,-30.050,1305.000,-2.090,1.898,0.294,-0.095,0.002,-0.191,1.000,3.000
TR154 10D-3g,38.700,-30.190,1150.000,-1.996,1.921,0.287,-0.058,0.291,-0.296,1.000,3.000
TR89 21D-3,38.430,-30.360,2775.000,-1.723,1.793,0.278,-0.065,0.359,-0.202,1.000,3.000
TRI0089-021-003,38.430,-30.360,-2775.000,-1.722,1.794,0.279,-0.065,0.359,-0.202,2.000,3.000
TR122 5D-2,37.730,-31.470,1650.000,-0.847,1.924,0.389,0.352,0.154,-0.155,1.000,3.000
TRI0122-005-002,37.730,-31.470,-1650.000,1.668,2.270,2.000,1.877,-1.091,-0.452,2.000,3.000
AII0127-1-015,37.291,-32.283,-1706.000,0.256,1.632,0.502,0.621,-0.019,-0.168,2.000,3.000
527-6-1,36.810,-33.250,2555.000,0.939,1.173,0.497,0.655,-0.020,-0.131,1.000,2.875
AII73 14-4-17,36.770,-33.300,2448.000,1.174,0.969,0.581,0.571,-0.062,-0.169,1.000,2.875
TR119 6D-6g,35.840,-34.180,2450.000,-1.122,-0.228,0.519,-1.303,0.038,0.097,1.000,2.875
TR119 7D-1,35.330,-34.900,2250.000,-1.122,-0.228,0.519,-1.303,0.038,0.097,1.000,2.875
TRI0119-007-001,35.330,-34.900,-2250.000,1.126,0.914,0.482,0.498,0.036,-0.136,2.000,2.750
TR123 1D-6g,34.230,-37.150,3100.000,1.974,-0.104,0.184,-0.014,0.261,-0.137,1.000,2.750
CHR0098-004,33.500,-39.083,-2240.000,1.874,0.448,-0.051,0.617,0.514,-0.106,2.000,2.625
CHR0098-005-101,33.033,-39.333,-2480.000,1.855,0.898,-0.038,0.318,0.153,-0.021,2.000,2.625
TR123 5D-3g,32.620,-39.870,2700.000,1.103,0.828,-0.431,1.127,0.222,-0.212,1.000,2.625
CHR0098-006-101,32.283,-40.350,-2280.000,2.178,-0.218,-0.395,-0.303,0.151,-0.154,2.000,2.625
CHR0098-012,30.167,-41.917,-2300.000,2.743,-0.313,-0.107,-0.186,0.125,-0.145,2.000,2.625
A150 RD20,30.070,-42.270,4144.000,2.420,-0.341,-0.023,-0.131,0.273,-0.131,1.000,2.625
A150 RD7,30.020,-42.070,4280.000,2.420,-0.341,-0.022,-0.132,0.273,-0.131,1.000,2.625
ATL0150-007,30.020,-42.070,-4280.000,0.538,0.831,-0.469,-0.233,0.110,-0.216,2.000,2.625
N-1,28.880,-43.330,-3566.000,-1.207,2.560,-0.199,-0.032,-0.182,-0.076,2.000,2.625
RC2806 55D-2g,4.907,-32.688,3530.000,0.529,1.055,-0.386,-0.220,-0.089,-0.119,1.000,2.250
RC2806 59D-1g,4.195,-32.578,4120.000,-0.126,1.779,-0.244,-0.138,0.085,-0.053,1.000,2.000
RC2806 53D-4g,3.967,-31.550,4430.000,0.936,1.271,-0.259,0.030,0.167,-0.014,1.000,2.000
RC2806 49D-1g,3.701,-31.513,3737.500,-0.148,2.001,-0.241,-0.103,0.136,-0.012,1.000,2.000
RC2806 47D-1g,3.132,-31.364,3815.000,-1.679,3.017,0.043,0.015,-0.239,-0.097,1.000,2.000
RC2806 45D-1g,2.870,-31.345,3070.000,-2.227,3.527,0.114,-0.021,-0.161,-0.030,1.000,2.000
RC2806 43D-5g,2.385,-30.768,3674.000,-2.929,4.046,0.180,-0.189,-0.188,0.039,1.000,2.000
RC2806 41D-1g,1.930,-30.639,3190.000,-3.516,4.036,-0.027,-0.333,-0.207,0.010,1.000,2.000
RC2806 40D-3g,1.700,-30.640,3515.000,-2.764,3.370,-0.251,-0.255,-0.080,0.110,1.000,2.000
RC2806 39D-1g,1.506,-30.667,3450.000,-2.533,2.937,-0.393,-0.338,0.103,0.098,1.000,2.000
RC2806 37D-1g,1.096,-30.437,3345.000,-2.035,2.644,-0.611,-0.046,0.117,-0.324,1.000,2.000
RC2806 34D-1g,1.023,-27.702,4530.000,-1.892,2.704,-0.751,-0.040,0.116,-0.297,1.000,2.000
RC2806 33D-1g,0.986,-27.691,4470.000,-1.525,2.713,-0.113,0.210,-0.259,0.036,1.000,2.000
RC2806 36D-1g,0.954,-30.416,3285.000,-1.524,2.719,-0.132,0.196,-0.291,0.031,1.000,2.000
CON2806-036-001,0.954,-30.416,-3285.000,-1.738,2.409,-0.358,-0.162,-0.214,0.003,2.000,2.000
RC2806 35D-1g,0.789,-30.400,3740.000,-1.833,2.448,-0.365,-0.109,-0.246,0.014,1.000,2.000
RC2806 35D-4g,0.789,-30.400,3740.000,0.114,1.402,-0.785,-0.216,0.100,-0.301,1.000,2.000
RC2806 25D-2g,-0.151,-24.813,3845.000,0.004,1.374,-0.487,0.393,-0.026,-0.168,1.000,2.000
RC2806 16D-10g,-0.270,-16.235,4095.000,-0.140,1.490,-0.826,-0.130,0.170,-0.296,1.000,2.000
RC2806 22D-4g,-0.791,-24.611,3895.000,0.058,1.362,-0.758,-0.093,0.223,-0.243,1.000,2.000
RC2806 21D-1g,-0.892,-24.578,4275.000,0.587,0.892,-0.668,-0.086,-0.125,-0.242,1.000,2.000
RC2806 10D-6g,-1.062,-15.976,4000.000,1.358,0.312,-0.489,0.157,0.005,-0.138,1.000,1.750
RC2806 3D-2g,-1.843,-12.955,3800.000,3.431,-0.839,-0.986,-0.079,0.169,-0.146,1.000,1.750
END0061-003-001,-3.433,-12.225,-3045.000,3.330,-0.907,-1.104,-0.181,0.260,-0.121,2.000,1.750
END0061-003-001,-3.433,-12.225,-3045.000,3.746,-1.180,-0.883,-0.059,0.302,-0.157,2.000,1.750
EN061 4D-1g,-4.272,-12.198,2300.000,3.771,-1.156,-0.923,-0.072,0.273,-0.155,1.000,1.750
END0061-004-001,-4.272,-12.198,-2300.000,3.975,-0.642,-0.717,0.285,0.066,-0.146,2.000,1.750
END0061-005-001,-5.185,-11.517,-3300.000,1.705,1.125,-0.826,2.766,-0.455,0.782,2.000,1.750
ARGLSDA-003-003,-5.780,-11.420,-2380.000,3.226,-0.104,-0.549,0.838,0.092,-0.080,2.000,1.750
MET41/2-130-003,-7.584,-13.470,-3925.000,2.101,0.612,-0.462,0.136,0.163,-0.058,2.000,1.500
EN061 08D-2Ag,-8.008,-13.398,3390.000,-1.934,1.903,-0.576,0.161,0.075,0.163,1.000,1.500
EN061 09D-1,-8.615,-13.268,2205.000,1.739,0.800,-0.307,0.545,-0.039,-0.001,1.000,1.500
EN061 13D-1g,-10.550,-13.010,3288.000,1.764,0.824,-0.347,0.532,-0.068,0.001,1.000,1.500
END0061-013-001,-10.553,-13.007,-3288.000,2.046,0.078,-0.920,0.066,0.176,-0.123,2.000,1.500
CON0016-007-001,-14.078,-14.468,-3559.000,-1.026,0.933,-0.771,-0.354,0.202,-0.199,2.000,1.500
EN061 18D-1g,-15.460,-13.260,2860.000,-1.031,0.928,-0.764,-0.351,0.207,-0.200,1.000,1.500
END0061-018-001,-15.463,-13.262,-2860.000,1.493,0.249,-1.029,0.064,0.100,-0.200,2.000,1.500
END0063-002-005,-21.500,-11.820,-3460.000,1.012,-0.003,-0.777,-0.274,0.126,-0.065,2.000,1.250
EN063 24D-5g,-30.980,-13.460,3530.000,-1.664,-0.910,0.549,0.062,0.302,0.169,1.000,1.250
AII 107-7 14-77,-37.187,-17.515,2399.000,0.594,-0.464,-0.465,0.019,0.011,0.110,1.000,1.250
AII 107-7 13-1g,-37.830,-17.140,2199.000,0.704,-0.461,-0.246,-0.050,-0.260,0.019,1.000,1.250
AII 107-7 07-3g,-40.438,-16.750,2612.000,-0.204,-0.318,-0.341,0.026,0.023,0.100,1.000,1.250
EW9309 45D-3g,-40.587,-16.770,3202.500,-0.203,-0.319,-0.341,0.026,0.023,0.100,1.000,1.250
EWI9309-045-003,-40.587,-16.772,-3203.000,-0.229,-0.546,-0.387,-0.585,-1.173,-0.294,2.000,1.250
EWI9309-044-003,-40.862,-16.792,-3194.000,0.376,-0.203,-0.569,-0.282,-0.237,0.069,2.000,1.250
EW9309 44D-3g,-40.862,-16.790,3066.500,-0.165,-0.858,-0.402,-0.180,-0.267,0.000,1.000,1.250
AII 107-7 06-20g,-41.248,-16.603,2394.000,-0.165,-0.858,-0.402,-0.180,-0.267,0.000,1.000,1.250
AII0107-7-006-020,-41.248,-16.603,-2420.000,0.381,-1.061,-0.400,-0.004,-0.152,0.089,2.000,1.250
EW9309 43D-1g,-42.185,-16.080,2925.000,0.495,-0.964,-0.525,-0.095,-0.463,0.040,1.000,1.250
EW9309 43D-2g,-42.185,-16.080,2925.000,0.380,-1.061,-0.400,-0.004,-0.152,0.089,1.000,1.250
EWI9309-043-001,-42.187,-16.082,-3000.000,0.495,-0.964,-0.525,-0.095,-0.463,0.040,2.000,1.250
EWI9309-043-002,-42.187,-16.082,-3000.000,0.725,-0.932,-0.198,-0.037,-0.241,0.042,2.000,1.250
AII 107-7 04-4g,-42.915,-16.370,2802.000,-1.977,-1.389,0.246,-0.049,-0.024,0.051,1.000,1.250
EWI9309-042-001,-43.427,-16.168,-3522.000,-1.977,-1.389,0.246,-0.049,-0.024,0.050,2.000,1.250
EW9309 42D-1g,-43.427,-16.170,3448.500,0.865,-1.066,-0.043,0.386,0.102,0.147,1.000,1.250
EW9309 41D-1g,-44.020,-16.080,3522.000,0.865,-1.066,-0.044,0.386,0.102,0.147,1.000,1.250
EWI9309-041-001,-44.023,-16.067,-3600.000,1.252,-0.872,-0.072,0.298,-0.285,0.065,2.000,1.250
EW9309 40D-1g,-44.410,-15.910,3488.000,1.251,-0.871,-0.072,0.298,-0.285,0.065,1.000,1.250
EWI9309-040-001,-44.410,-15.908,-3488.000,-0.434,-1.350,0.189,0.221,0.012,0.052,2.000,1.250
EWI9309-039-001,-44.682,-15.390,-3534.000,-1.134,-1.696,0.343,0.243,0.329,0.100,2.000,1.250
EW9309 37D-1g,-45.233,-15.070,3534.000,-0.434,-1.350,0.189,0.220,0.012,0.053,1.000,1.250
EW9309 39D-1g,-45.233,-15.070,3534.000,-1.134,-1.696,0.343,0.243,0.329,0.100,1.000,1.250
EWI9309-037-001,-45.233,-15.075,-3534.000,0.477,-1.133,-0.234,0.004,-0.068,0.064,2.000,1.250
EW9309 36D-1g,-45.567,-14.710,3114.000,0.477,-1.133,-0.235,0.004,-0.068,0.064,1.000,1.000
EWI9309-036-001,-45.567,-14.710,-3443.000,-0.752,-1.273,-0.167,-0.189,-0.083,0.188,2.000,1.000
EW9309 34D-1g,-45.847,-14.190,3442.500,-0.752,-1.273,-0.167,-0.189,-0.082,0.188,1.000,1.000
EWI9309-034-001,-45.847,-14.193,-3443.000,-2.334,-2.025,0.453,0.133,0.151,0.018,2.000,1.000
EW9309 33D-1g,-45.990,-14.080,3381.000,-2.334,-2.024,0.452,0.134,0.151,0.018,1.000,1.000
EWI9309-033-001,-45.990,-14.077,-3381.000,-0.104,-0.658,-0.277,0.298,-0.097,0.141,2.000,1.000
AII 107-7 02-53g,-46.212,-13.640,2699.000,-0.104,-0.658,-0.277,0.298,-0.097,0.140,1.000,1.000
AII0107-7-002-053,-46.212,-14.073,-2735.000,0.010,-0.978,-0.413,0.040,-0.253,0.013,2.000,1.000
EW9309 32D-1g,-46.230,-13.550,3108.000,-1.279,-1.475,0.272,0.193,0.195,0.047,1.000,1.000
EW9309 32D-2g,-46.230,-13.550,3108.000,0.010,-0.979,-0.412,0.040,-0.253,0.014,1.000,1.000
EWI9309-032-001,-46.230,-13.555,-3108.000,-1.279,-1.476,0.273,0.193,0.195,0.047,2.000,1.000
EWI9309-032-002,-46.230,-13.555,-3108.000,-1.668,-1.418,0.130,0.027,-0.373,-0.095,2.000,1.000
EW9309 31D-1g,-46.388,-13.450,2822.000,-1.668,-1.418,0.131,0.027,-0.373,-0.095,1.000,1.000
EWI9309-031-001,-46.388,-13.455,-2822.000,-0.483,-1.173,-0.110,0.218,-0.177,0.014,2.000,1.000
EW9309 30D-1g,-46.592,-13.380,3153.000,-0.483,-1.173,-0.110,0.218,-0.177,0.014,1.000,1.000
EWI9309-030-001,-46.592,-13.385,-3153.000,0.907,-0.703,-0.415,0.395,0.102,0.144,2.000,1.000
EW9309 28D-1g,-46.900,-13.450,3416.500,0.907,-0.703,-0.415,0.395,0.102,0.144,1.000,1.000
EWI9309-028-001,-46.900,-13.453,-3417.000,-0.600,-0.427,-0.194,0.004,0.045,0.212,2.000,1.000
EW9309 27D-2g,-47.107,-13.400,3080.500,-0.601,-0.427,-0.194,0.004,0.045,0.211,1.000,1.000
EWI9309-027-002,-47.107,-13.398,-3081.000,-6.045,-2.616,0.713,0.347,0.372,-0.015,2.000,1.000
EW9309 25D-1g,-47.348,-10.320,2032.000,-6.067,-3.029,1.036,0.006,0.225,-0.114,1.000,1.000
EW9309 25D-5g,-47.348,-10.320,2032.000,-6.045,-2.616,0.713,0.347,0.372,-0.015,1.000,1.000
EWI9309-025-001,-47.348,-10.430,-2032.000,-6.067,-3.029,1.036,0.006,0.225,-0.114,2.000,1.000
EWI9309-025-005,-47.348,-10.430,-2032.000,-0.119,-1.053,-0.954,-0.200,0.095,0.120,2.000,1.000
EW9309 26D-1g,-47.353,-13.400,3857.000,0.445,-0.719,-0.394,0.311,-0.162,0.046,1.000,1.000
EW9309 26D-2g,-47.353,-13.400,3857.000,0.202,-0.843,-0.538,0.149,-0.189,0.035,1.000,1.000
EWI9309-026-001,-47.353,-13.398,-3857.000,0.445,-0.719,-0.394,0.311,-0.162,0.046,2.000,1.000
EWI9309-026-002,-47.353,-13.398,-3857.000,-2.473,-1.919,0.096,-0.552,-0.278,0.113,2.000,1.000
EW9309 02D-1g,-47.548,-10.180,2493.500,-2.473,-1.919,0.096,-0.552,-0.278,0.113,1.000,1.000
EWI9309-002-001,-47.548,-10.185,-2494.000,-2.543,-1.501,0.124,-0.354,-0.123,0.094,2.000,1.000
EWI9309-002-003,-47.548,-10.185,-2494.000,-1.128,-0.966,-0.052,0.285,0.255,0.353,2.000,1.000
EW9309 03D-3g,-47.795,-10.150,2549.000,-1.128,-0.966,-0.053,0.286,0.255,0.353,1.000,1.000
EWI9309-003-003,-47.795,-10.153,-2549.000,-1.973,-1.585,0.044,-0.222,-0.353,0.083,2.000,1.000
EW9309 04D-2g,-47.967,-10.080,2895.000,-1.973,-1.585,0.043,-0.222,-0.353,0.083,1.000,1.000
